Index,Adsorbent,N_0.75,N_2,H_0.25,H_6,N_wc,H_wc,N_sw,N_3p,H_3p,N_3p_sim,H_3p_sim,N2 Isotherm,N2 Opt method,qm_N2,b_N2,Error_N2,H2 Isotherm,H2 Opt method,qm_H2,b_H2,Error_H2,N_4p,H_4p,N_4p_sim,H_4p_sim,N2 Isotherm_2,N2 Opt method_2,par_N2_2,Error_N2_2,H2 Isotherm_2,H2 Opt method_2,par_H2_2,Error_H2_2,N_5p,H_5p,N_5p_sim,H_5p_sim,N2 Isotherm_3,N2 Opt method_3,par_N2_3,Error_N2_3,H2 Isotherm_3,H2 Opt method_3,par_H2_3,Error_H2_3,x_N2,x_H2,Recovery
5,ABULOB_clean,0.523240959,1.113775486,1.100852082,6.289312497,0.590534527,5.188460415,0.113816909,8,10.0,2.372739229,7.015789696,Lang,SLSQP,3.740475276,0.216849118,0.553472551,Lang,SLSQP,8.136800346,0.625844468,1.330433695,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.025625000000000002,0.974375,-11.67479674796748
21,acs.chemmater.5b03723_cm5b03723_si_005_clean,0.864529182,1.591457198,0.540874102,9.390375805,0.726928016,8.849501703,0.082143384,8,10.0,3.380114492,13.73500359,Freu,COBYLA,1.020376435,0.576104493,1.612667113,Lang,SLSQP,36.67540673,0.059872577,1.32434662,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.12482824679720714,0.8751717532027928,-1.3370024431104262
26,acs.inorgchem.6b00136_ic6b00136_si_002_clean,1.478929204,2.183232672,2.462011192,8.080197882,0.704303468,5.61818669,0.12536135,8,3.0,3.12738771,6.339513075,Lang,BFGS,3.534995794,0.959066988,4.916408815,Freu,COBYLA,4.134579459,0.374048666,1.065060429,12.0,NaN,3.427479371,NaN,Quad,DiffEv,[2.54373252 1.63147807 0.08625763],0.134176406,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0023750000000000004,0.997625,-139.0175438596491
27,acs.inorgchem.6b00276_ic6b00276_si_006_clean,1.17963935,1.937571696,1.178495706,8.22516278,0.757932346,7.046667074,0.107558983,8,10.0,3.806648179,10.88890259,Freu,COBYLA,1.360153848,0.495020678,0.454218392,Freu,COBYLA,2.717862907,0.602856589,1.311315465,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.18069944007723265,0.8193005599227674,-0.5113504863335316
43,acscombsci.5b00188_3001288_clean,0.715972626,1.869571802,0.24623614,5.564572988,1.153599176,5.318336848,0.216909761,8,10.0,6.220762969,9.330559819,Lang,COBYLA,30.39965433,0.032260093,0.327214752,Freu,TNC,0.96510989,0.985330932,0.482192558,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.2331416697363557,0.7668583302636443,-0.0964125105146485
44,acscombsci.5b00188_34903_clean,0.566369236,1.10322743,1.816567662,7.066608955,0.536858194,5.250041293,0.102257899,8,10.0,2.02180725,7.662767921,Lang,SLSQP,2.753923204,0.345201704,0.854629861,Lang,TNC,8.351969749,1.111832193,1.94143285,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0056250000000000015,0.994375,-57.92592592592591
47,acscombsci.5b00188_5024922_clean,0.481044345,1.180756022,0.225962952,5.028557323,0.699711677,4.802594371,0.145694519,8,10.0,3.861244452,8.099729617,Lang,CG,14.13911721,0.046960642,0.566938632,Lang,DiffEv,76.03343733,0.011922991,0.348898018,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.17415368388479388,0.8258463161152061,-0.5806849400546701
48,acscombsci.5b00188_5036495_clean,0.332591079,0.870730517,0.220745522,5.012326636,0.538139438,4.791581114,0.112309366,8,10.0,3.091262771,8.273981838,Lang,Powell,21.77714689,0.020679131,0.122141138,Freu,COBYLA,0.861748555,0.982445528,0.020598579,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.142330608517158,0.8576693914828419,-1.0086318757393857
49,acscombsci.5b00188_5040209_clean,0.628514319,1.157296233,0.869001054,6.664912478,0.528781914,5.795911424,0.091233609,8,10.0,2.337090023,8.251818465,Freu,COBYLA,0.737353948,0.554885599,2.503508184,Lang,Powell,10.55003806,0.359052637,4.226731141,NaN,15.0,NaN,9.599972957,NaN,NaN,NaN,NaN,Sips,trust-constr,[17.27732489  0.15447923  0.77220867],0.442504608,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.1157975668089062,0.8842024331910938,-1.54525334615548
52,ACUFEK_clean,0.586010133,1.282797079,0.480588152,7.407723996,0.696786946,6.927135844,0.10058803,8,10.0,3.245886229,11.13644395,Lang,BFGS,6.11909538,0.14121346,1.406584972,Freu,COBYLA,1.565863705,0.85209704,1.082271772,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.09071517370763812,0.9092848262923618,-2.341171379710798
