,Unnamed: 0,Unnamed: 0.1,Adsorbent,D_H2(m^2/s),D_N2(m^2/s),P_H2(bar),P_N2(bar),q_H2(mol/kg),q_N2(mol/kg),Density(kg ads/m^3),a_H2(mol/(mm^2 bar s)),a_N2(mol/(mm^2 bar s)),P_H2(Barrer),P_N2(Barrer),Pu_ret_0.7,Pu_perm_0.7,Fr_H2,Fr_N2,Fp_H2,Fp_N2,S_H/N,Ff_opt,Pf_opt,L_opt,Nf_opt,ReH2_opt
0,115,115,ALOLES_ion_b,1.08E-08,1.67E-09,6,2,2.511194335,0.007160304,2208.182101,1.33E-09,1.76E-12,293568.0556,388.3058245,0.715167019,0.999484681,0.439284084,0.174955768,0.086593933,4.46E-05,756.022797,0.179346743,29.37061211,0.610900428,109.2491556,-84.58355666
1,219,219,ATIBOU_clean,9.75E-09,1.74E-09,6,2,4.63355447,0.020490725,1662.690144,1.67E-09,3.95E-12,368213.7851,871.7841781,0.705114569,0.999056056,0.418209289,0.174898991,0.107892008,0.00010194,422.368052,0.806319546,29.98513557,0.890973506,84.01350323,-33.41917546
2,220,220,ATIBOU01_clean,1.20E-08,1.70E-09,6,2,5.197484522,0.022403598,1592.724748,2.21E-09,4.04E-12,486950.7191,892.0691245,0.687842909,0.999240296,0.385380925,0.174893696,0.141075474,0.000107257,545.8665767,0.57396168,29.97536721,0.560420886,148.531954,-63.46879384
3,221,221,ATIBOU02_clean,1.09E-08,1.78E-09,6,2,5.25027213,0.022384437,1589.304074,2.02E-09,4.22E-12,445846.2738,931.2456605,0.69399991,0.999145745,0.396646038,0.174890114,0.129687435,0.000110881,478.7633304,0.440132644,29.54674591,0.840792105,63.09453414,-49.70254991
4,222,222,ATIBUA_clean,7.55E-09,1.45E-09,6,2,4.318703371,0.014895814,1675.809756,1.21E-09,2.41E-12,267851.9881,532.2896782,0.718543701,0.999232261,0.446612274,0.174939725,0.079188846,6.08E-05,503.2071805,0.350773613,29.87312374,0.914043793,86.99988366,-55.3176765
5,223,223,ATICAH_clean,1.35E-08,1.93E-09,6,2,5.122029857,0.020158607,1595.15901,2.45E-09,4.14E-12,540691.6815,912.6681518,0.679515895,0.999287061,0.370815307,0.174889818,0.155801814,0.000111156,592.4296585,0.975996528,29.91073729,0.974485085,148.3661772,-70.09922152
6,224,224,ATICEL_clean,1.05E-08,1.75E-09,6,2,5.076215131,0.017436197,1609.945308,1.91E-09,3.27E-12,420639.7142,722.4237678,0.697653706,0.999303232,0.403610953,0.174915255,0.12264712,8.55E-05,582.2617318,0.109178369,29.91991622,0.39887255,51.88316803,-68.73836691
7,353,353,BEPWEA_clean,2.97E-08,7.80E-09,6,2,8.874531633,0.009611903,1377.489813,8.07E-09,6.88E-12,1779754.581,1518.740118,0.379008053,0.999384233,0.106648864,0.174740577,0.423673667,0.000261045,1171.862493,0.108255863,29.93580354,0.14197124,65.91470233,-97.01102388
8,1044,1044,EDAFUM_clean,6.35E-09,1.33E-09,6,2,4.41137682,0.017318206,1773.032311,1.10E-09,2.72E-12,243463.7824,600.5681267,0.721679727,0.999054421,0.453596659,0.174932371,0.072131528,6.83E-05,405.3891167,0.967740824,29.89841875,0.862903174,127.85462,-27.20028244
9,1045,1045,EDAGAT_clean,4.77E-09,9.83E-10,6,2,4.135320414,0.016951486,1845.643519,8.09E-10,2.05E-12,178461.7712,452.2725216,0.729732593,0.999047599,0.472371326,0.174949803,0.053162446,5.07E-05,394.5890203,0.750946017,29.95995749,0.862769172,112.3881489,-22.88112166
