,Adsorbent,D_H2(m^2/s),D_N2(m^2/s),P_H2(bar),P_N2(bar),q_H2(mol/kg),q_N2(mol/kg),Density(kg ads/m^3)
0,ABAYIO_clean,1.43e-08,1.1e-09,6,2,11.19610371,0.463006879,949.1242313
1,ABAYOU_clean,1.21e-08,2.32e-09,6,2,11.36204227,0.620568198,979.265817
2,ABETIN_clean,1.66e-07,4.23e-08,6,2,2.018495072,0.453380132,597.2204189
3,ABEXIQ_clean,2.51e-08,4.63e-09,6,2,6.01206969,0.046589228,1787.597317
4,ABIYIV_clean,2.43e-08,1.4e-09,6,2,2.350485463,0.506572714,1346.589435
5,ABULOB_clean,1.63e-08,2.1e-09,6,2,6.289312497,1.113775486,1319.225815
6,ABUWOJ_clean,2.8e-08,3.26e-09,6,2,11.61282456,0.786017503,1158.433869
7,ac403674p_si_001_clean,4.46e-08,1.44e-08,6,2,1.280807928,0.071526656,1120.762775
8,ACAJIY_clean,6.05e-09,9.52e-10,6,2,2.401044461,0.359459556,1093.914252
9,ACAJIZ_clean,2.37e-08,7.13e-09,6,2,4.868666645,0.096929584,1301.466957
10,ACAJOF_clean,2.06e-08,4.99e-09,6,2,5.291751021,0.101504649,1218.702461
11,ACIBIY_clean,9.41e-09,2.01e-09,6,2,4.839456232,0.021355237,1735.163421
12,ACIBOE_clean,5.99e-08,4.57e-09,6,2,13.33248338,0.640137885,1101.039638
13,ACODUT_clean,1.96e-09,6.9e-10,6,2,3.556925183,0.267720882,1519.109142
14,ACOGAB_clean,2.98e-08,6.65e-09,6,2,4.162049021,0.815803972,1154.559484
15,ACOGEF_clean,3.97e-08,7.34e-09,6,2,3.802714176,0.763919751,1259.505328
16,ACOLIP_clean,2.88e-08,4.53e-09,6,2,6.193167398,0.355627418,1049.511923
17,ACOLOV_clean,7.85e-08,1.5e-08,6,2,8.097338782,0.365389891,863.405918
18,acs.cgd.5b01554_VAGNUP1452791_clean,6.69e-08,1.47e-08,6,2,0.255593083,0.062660381,1470.468473
19,acs.cgd.5b01686_WAHFUJ1434675_clean,1.61e-08,4.33e-09,6,2,5.662655816,0.357924857,1284.622931
20,acs.chemmater.5b03723_cm5b03723_si_004_clean,6.36e-08,8.41e-09,6,2,10.96336807,1.34260468,772.5881301
21,acs.chemmater.5b03723_cm5b03723_si_005_clean,9.17e-08,1.23e-08,6,2,9.390375805,1.591457198,645.1381148
22,acs.chemmater.6b02817_cm6b02817_si_004_clean,5.4e-08,1.28e-08,6,2,16.03255996,0.679631901,897.6855151
23,acs.chemrev.6b00346_cr6b00346_si_001_clean,1.07e-07,1.85e-08,6,2,3.418703161,0.620628724,906.4594411
24,acs.inorgchem.5b02973_ic5b02973_si_002_clean,1.95e-08,3.92e-09,6,2,2.586815284,0.254748509,1027.840145
25,acs.inorgchem.6b00081_ic6b00081_si_001_clean,2.22e-08,7.07e-09,6,2,0.830390591,0.159237259,1162.126891
26,acs.inorgchem.6b00136_ic6b00136_si_002_clean,1.31e-08,2.25e-09,6,2,8.080197882,2.183232672,1176.693268
27,acs.inorgchem.6b00276_ic6b00276_si_006_clean,3.1e-08,5.53e-09,6,2,8.22516278,1.937571696,761.3233117
28,acs.inorgchem.6b00433_ic6b00433_si_002_clean,3.75e-08,1.03e-08,6,2,1.692406852,0.339747953,1103.956594
29,acs.inorgchem.6b00894_ic6b00894_si_002_clean,3.85e-08,7.24e-09,6,2,5.249153622,0.417695586,1106.920911
30,acs.inorgchem.6b01211_ic6b01211_si_002_clean,5.98e-08,4.65e-09,6,2,11.30134777,1.750476851,822.8038236
31,acs.inorgchem.6b01416_ic6b01416_si_004_clean,1.56e-08,4.28e-09,6,2,4.763096218,0.24862685,1342.870586
32,acs.inorgchem.6b01569_ic6b01569_si_002_clean,2.62e-08,6.35e-09,6,2,2.471654767,0.084629291,1113.249959
33,acs.inorgchem.6b01740_ic6b01740_si_002_clean,1.51e-07,3.72e-08,6,2,2.161090034,0.549568576,473.3101423
34,acs.inorgchem.6b01762_ic6b01762_si_002_clean,2.7e-08,1.06e-09,6,2,8.819856864,0.682728315,2311.991195
35,acs.inorgchem.6b02407_ic6b02407_si_002_clean,7.37e-08,6.04e-09,6,2,14.94701929,1.398311575,960.8218708
36,acs.inorgchem.6b02407_ic6b02407_si_003_clean,6.57e-08,3.81e-09,6,2,11.96613034,1.211734363,1121.915187
37,acs.inorgchem.6b02514_ic6b02514_si_002_clean,6.63e-08,1.43e-08,6,2,0.83025337,0.167310786,1351.541404
38,acs.inorgchem.6b02696_ic6b02696_si_002_clean,8.81e-08,1.52e-08,6,2,6.89982679,0.540390446,908.7728807
39,acs.jchemed.6b00258_ed6b00258_si_005_clean,3.98e-09,6.18e-10,6,2,1.842339166,0.088681423,1466.302795
40,acs.jpcc.6b08594_UiO66_Ce2Zr4_opt_clean,8.28e-09,3.42e-09,6,2,11.99664445,0.23843265,1272.373821
41,acs.jpcc.6b08594_Zn2Cd6MOF5_opt_clean,1.18e-07,1.77e-08,6,2,4.642072736,0.375537569,628.5690156
42,acscombsci.5b00188_24205_clean,6.16e-08,1.05e-08,6,2,9.329801271,0.367824604,1262.484605
43,acscombsci.5b00188_3001288_clean,5.02e-07,4.66e-08,6,2,5.564572988,1.869571802,156.1238367
44,acscombsci.5b00188_34903_clean,1.39e-07,1.73e-08,6,2,7.066608955,1.10322743,2165.815559
45,acscombsci.5b00188_5013797_clean,7.53e-08,1.4e-08,6,2,7.418839581,0.613506514,664.9891754
46,acscombsci.5b00188_5020072_clean,1.52e-07,2.46e-08,6,2,4.62905051,0.717826048,429.6174282
47,acscombsci.5b00188_5024922_clean,2.52e-07,3.02e-08,6,2,5.028557323,1.180756022,295.0160565
48,acscombsci.5b00188_5036495_clean,1.7e-07,2.65e-08,6,2,5.012326636,0.870730517,338.3863274
49,acscombsci.5b00188_5040209_clean,4.68e-08,6.92e-09,6,2,6.664912478,1.157296233,1046.355439
50,acscombsci.5b00188_8372_clean,7.45e-08,3.2e-10,6,2,11.3882281,1.553035999,958.9444683
