,Adsorbent,D_H2(m^2/s),D_N2(m^2/s),P_H2(bar),P_N2(bar),q_H2(mol/kg),q_N2(mol/kg),Density(kg ads/m^3),a_H2(mol/(mm^2 bar s)),a_N2(mol/(mm^2 bar s)),P_H2(Barrer),P_N2(Barrer),Pu_ret_0.7,Pu_perm_0.7
0,ABAYIO_clean,1.43e-08,1.1e-09,6,2,11.19610371,0.463006879,949.1242313,3.3768634351225827e-09,3.2226410195282386e-11,744896.3459829227,7108.7669548417025,0.6455735649677289,0.9956924016975978
1,ABAYOU_clean,1.21e-08,2.32e-09,6,2,11.36204227,0.620568198,979.265817,2.991781360810512e-09,9.399112255542371e-11,659951.7707670247,20733.335857814054,0.6626149483119969,0.986466508155326
2,ABETIN_clean,1.66e-07,4.23e-08,6,2,2.018495072,0.453380132,597.2204189,4.4469056539171714e-09,7.635654000382161e-10,980935.070717023,168433.5441260771,0.6229863821732046,0.9261851875768669
3,ABEXIQ_clean,2.51e-08,4.63e-09,6,2,6.01206969,0.046589228,1787.597317,5.994526825583814e-09,2.5706617776610864e-11,1322322.0938787826,5670.577450722984,0.5150376916659865,0.9975368736435625
4,ABIYIV_clean,2.43e-08,1.4e-09,6,2,2.350485463,0.506572714,1346.589435,1.7091750014623175e-09,6.366691004162317e-11,377023.8973813936,14044.171332710992,0.7055843750803218,0.985418441308025
5,ABULOB_clean,1.63e-08,2.1e-09,6,2,6.289312497,1.113775486,1319.225815,3.0053662554601237e-09,2.05704992254352e-10,662948.438704439,45376.10123257765,0.6655888713578325,0.9712661964422562
6,ABUWOJ_clean,2.8e-08,3.26e-09,6,2,11.61282456,0.786017503,1158.433869,8.370562221814502e-09,1.9789271390350329e-10,1846447.5489296697,43652.804537537486,0.3615575554466131,0.9828684089222982
7,ac403674p_si_001_clean,4.46e-08,1.44e-08,6,2,1.280807928,0.071526656,1120.762775,1.4227220089817044e-09,7.695783692642917e-11,313835.7372753759,16975.993439653495,0.7145647858903342,0.9794259977128349
8,ACAJIY_clean,6.05e-09,9.52e-10,6,2,2.401044461,0.359459556,1093.914252,3.5312327491600066e-10,2.4956231374822967e-11,77894.84005500015,5505.05103856389,0.7420786163091425,0.9750393966479689
9,ACAJIZ_clean,2.37e-08,7.13e-09,6,2,4.868666645,0.096929584,1301.466957,3.337175281907523e-09,5.996360931449464e-11,736141.60630313,13227.266760550288,0.6480596944029633,0.9919683794432297
10,ACAJOF_clean,2.06e-08,4.99e-09,6,2,5.291751021,0.101504649,1218.702461,2.9522409298047655e-09,4.1152185869387583e-11,651229.6168686983,9077.68805942373,0.6624620306730202,0.9939359421184712
11,ACIBIY_clean,9.41e-09,2.01e-09,6,2,4.839456232,0.021355237,1735.163421,1.7559577406334163e-09,4.965346695950894e-12,387343.61925737123,1095.2970652832855,0.7024615157172907,0.9988659567559902
12,ACIBOE_clean,5.99e-08,4.57e-09,6,2,13.33248338,0.640137885,1101.039638,1.9540168915420835e-08,2.1473430241527463e-10,4310331.378401655,47367.86082689882,0.05147144707538452,0.9749373255151417
13,ACODUT_clean,1.96e-09,6.9e-10,6,2,3.556925183,0.267720882,1519.109142,2.353462405176541e-10,1.8708073010123148e-11,51914.611878894284,4126.780811056577,0.7448205967535765,0.9722268514513271
14,ACOGAB_clean,2.98e-08,6.65e-09,6,2,4.162049021,0.815803972,1154.559484,3.182198410400895e-09,4.175731010778119e-10,701955.5317060797,92111.71347304674,0.6654953966174462,0.9466600829561267
15,ACOGEF_clean,3.97e-08,7.34e-09,6,2,3.802714176,0.763919751,1259.505328,4.225437533148116e-09,4.708174476446114e-10,932081.8087826726,103856.78992160545,0.6233910777598893,0.9504962848757352
16,ACOLIP_clean,2.88e-08,4.53e-09,6,2,6.193167398,0.355627418,1049.511923,4.1598739362149665e-09,1.1271703503168484e-10,917619.2506356544,24864.051845224596,0.6144683513921682,0.9871438305152138
17,ACOLOV_clean,7.85e-08,1.5e-08,6,2,8.097338782,0.365389891,863.405918,1.2195917391505165e-08,3.15479794266775e-10,2690275.895184963,69591.1310882592,0.13545450600228592,0.9706051133512282
18,acs.cgd.5b01554_VAGNUP1452791_clean,6.69e-08,1.47e-08,6,2,0.255593083,0.062660381,1470.468473,5.587511347629801e-10,9.029731247133484e-11,123253.9267859515,19918.524809853272,0.7385588788798042,0.9446464124518297
19,acs.cgd.5b01686_WAHFUJ1434675_clean,1.61e-08,4.33e-09,6,2,5.662655816,0.357924857,1284.622931,2.6026106208147847e-09,1.32728494235855e-10,574105.2840032612,29278.34431673272,0.6780820002193891,0.9789443558117457
20,acs.chemmater.5b03723_cm5b03723_si_004_clean,6.36e-08,8.41e-09,6,2,10.96336807,1.34260468,772.5881301,1.1971170825343077e-08,5.815685662362269e-10,2640699.446766855,128287.18372857946,0.14060069270517667,0.9480701426921951
21,acs.chemmater.5b03723_cm5b03723_si_005_clean,9.17e-08,1.23e-08,6,2,9.390375805,1.591457198,645.1381148,1.2345039841201845e-08,8.419019511321406e-10,2723170.553206289,185713.66569091336,0.12171418133593222,0.926140010578545
22,acs.chemmater.6b02817_cm6b02817_si_004_clean,5.4e-08,1.28e-08,6,2,16.03255996,0.679631901,897.6855151,1.7270636215277086e-08,5.206150085355326e-10,3809699.165134651,114841.54600048512,0.054417871931649334,0.9442911089760356
23,acs.chemrev.6b00346_cr6b00346_si_001_clean,1.07e-07,1.85e-08,6,2,3.418703161,0.620628724,906.4594411,7.3685330212652085e-09,6.938422117547637e-10,1625411.6958673254,153053.4290635508,0.44561039184491075,0.9439344805265
24,acs.inorgchem.5b02973_ic5b02973_si_002_clean,1.95e-08,3.92e-09,6,2,2.586815284,0.254748509,1027.840145,1.1521607918577365e-09,6.842771454413651e-11,254153.11585097125,15094.3487965007,0.7220999981480971,0.9778614644442609
25,acs.inorgchem.6b00081_ic6b00081_si_001_clean,2.22e-08,7.07e-09,6,2,0.830390591,0.159237259,1162.126891,4.760761563450115e-10,8.722207187883563e-11,105016.79919375254,19240.162914449036,0.740573372220753,0.9381137918220837
26,acs.inorgchem.6b00136_ic6b00136_si_002_clean,1.31e-08,2.25e-09,6,2,8.080197882,2.183232672,1176.693268,2.7678595404295574e-09,3.8534927814300777e-10,610557.2515653435,85003.51723742818,0.6798838078265896,0.9452124642729851
27,acs.inorgchem.6b00276_ic6b00276_si_006_clean,3.1e-08,5.53e-09,6,2,8.22516278,1.937571696,761.3233117,4.313827848337256e-09,5.438270204273085e-10,951579.6724273358,119961.84274131805,0.6217680755850962,0.9442929431928142
28,acs.inorgchem.6b00433_ic6b00433_si_002_clean,3.75e-08,1.03e-08,6,2,1.692406852,0.339747953,1103.956594,1.5569530866634851e-09,2.5754600186848176e-10,343445.5338228276,56811.61805922392,0.7156097399808782,0.9403559278815133
29,acs.inorgchem.6b00894_ic6b00894_si_002_clean,3.85e-08,7.24e-09,6,2,5.249153622,0.417695586,1106.920911,4.971118211241395e-09,2.231638189925856e-10,1096570.19365619,49227.31301307035,0.5786154110487639,0.9775297010187874
30,acs.inorgchem.6b01211_ic6b01211_si_002_clean,5.98e-08,4.65e-09,6,2,11.30134777,1.750476851,822.8038236,1.2357061577510269e-08,4.464927042990871e-10,2725822.406803736,98491.03771303392,0.12761869969556666,0.9588497911235152
31,acs.inorgchem.6b01416_ic6b01416_si_004_clean,1.56e-08,4.28e-09,6,2,4.763096218,0.24862685,1342.870586,2.217356893939216e-09,9.5265291098046e-11,489122.8442512976,21014.402448098383,0.6902139093998687,0.9826453434529702
32,acs.inorgchem.6b01569_ic6b01569_si_002_clean,2.62e-08,6.35e-09,6,2,2.471654767,0.084629291,1113.249959,1.6020249484945e-09,3.9883738171551774e-11,353387.8562855515,8797.883420195245,0.7081825219899263,0.9902536903582616
33,acs.inorgchem.6b01740_ic6b01740_si_002_clean,1.51e-07,3.72e-08,6,2,2.161090034,0.549568576,473.3101423,3.4322831235302984e-09,6.450886246572176e-10,757121.2772493305,142298.96132144507,0.662962817289216,0.9253853146458527
34,acs.inorgchem.6b01762_ic6b01762_si_002_clean,2.7e-08,1.06e-09,6,2,8.819856864,0.682728315,2311.991195,1.223485884643699e-08,1.1154463760190785e-10,2698865.922008159,24605.43476512673,0.13671844943651956,0.9893074573232207
35,acs.inorgchem.6b02407_ic6b02407_si_002_clean,7.37e-08,6.04e-09,6,2,14.94701929,1.398311575,960.8218708,2.3520819507430662e-08,5.409940796303252e-10,5188416.067815588,119336.9293302188,0.048305053004268336,0.9357214166878193
36,acs.inorgchem.6b02407_ic6b02407_si_003_clean,6.57e-08,3.81e-09,6,2,11.96613034,1.211734363,1121.915187,1.9600475702778508e-08,3.453036488527056e-10,4323634.346201141,76169.922541038,0.05081034486641926,0.9603147404816751
37,acs.inorgchem.6b02514_ic6b02514_si_002_clean,6.63e-08,1.43e-08,6,2,0.83025337,0.167310786,1351.541404,1.6532594599052165e-09,2.1557484006609368e-10,364689.58674379776,47553.27354399125,0.7115704357045866,0.9518073866727803
38,acs.inorgchem.6b02696_ic6b02696_si_002_clean,8.81e-08,1.52e-08,6,2,6.89982679,0.540390446,908.7728807,1.2276001750120209e-08,4.976400780783668e-10,2707941.5625265166,109773.54663493384,0.12982376611049135,0.9545706757671262
39,acs.jchemed.6b00258_ed6b00258_si_005_clean,3.98e-09,6.18e-10,6,2,1.842339166,0.088681423,1466.302795,2.3892621627569336e-10,5.357393318470465e-12,52704.312413755884,1181.7779378978967,0.7443992156431052,0.9919555091150694
40,acs.jpcc.6b08594_UiO66_Ce2Zr4_opt_clean,8.28e-09,3.42e-09,6,2,11.99664445,0.23843265,1272.373821,2.80861580619659e-09,6.916960532041747e-11,619547.6043080713,15258.001173621502,0.6686882330229434,0.9894850528843716
41,acs.jpcc.6b08594_Zn2Cd6MOF5_opt_clean,1.18e-07,1.77e-08,6,2,4.642072736,0.375537569,628.5690156,7.651285436029155e-09,2.7854051047923355e-10,1687783.552065255,61442.75966453681,0.4143723040195643,0.9760575020968302
42,acscombsci.5b00188_24205_clean,6.16e-08,1.05e-08,6,2,9.329801271,0.367824604,1262.484605,1.612377326881269e-08,3.25061029923155e-10,3556714.691649858,71704.63895363713,0.06139965836177679,0.9654534760509951
43,acscombsci.5b00188_3001288_clean,5.02e-07,4.66e-08,6,2,5.564572988,1.869571802,156.1238367,9.691528160240868e-09,9.067885385659846e-10,2137837.09417078,200026.8835072025,0.27279685874877957,0.9281586604675065
44,acscombsci.5b00188_34903_clean,1.39e-07,1.73e-08,6,2,7.066608955,1.10322743,2165.815559,4.72753567944661e-08,2.75575982673772e-09,10428387.528191052,607888.197074497,0.0,0.7499999999999999
45,acscombsci.5b00188_5013797_clean,7.53e-08,1.4e-08,6,2,7.418839581,0.613506514,664.9891754,8.255303012426082e-09,3.8077684479089604e-10,1821022.7233292826,83994.8922332859,0.37339204324943664,0.9679732519247525
46,acscombsci.5b00188_5020072_clean,1.52e-07,2.46e-08,6,2,4.62905051,0.717826048,429.6174282,6.7174568403854e-09,5.057605522442368e-10,1481791.9500850148,111564.82770093459,0.48494765423055436,0.9570638409506349
47,acscombsci.5b00188_5024922_clean,2.52e-07,3.02e-08,6,2,5.028557323,1.180756022,295.0160565,8.307628847367679e-09,7.013285304021219e-10,1832565.1869193409,154704.82288282103,0.3760115971425273,0.9438654774805095
48,acscombsci.5b00188_5036495_clean,1.7e-07,2.65e-08,6,2,5.012326636,0.870730517,338.3863274,6.4074994745442275e-09,5.205364998514956e-10,1413419.0017376973,114824.22790841815,0.5056000711293348,0.9553255026534633
49,acscombsci.5b00188_5040209_clean,4.68e-08,6.92e-09,6,2,6.664912478,1.157296233,1046.355439,7.252822118686839e-09,5.58648466593442e-10,1599887.2320632734,123231.2793956122,0.4499659215370665,0.9537563690230767
50,acscombsci.5b00188_8372_clean,7.45e-08,3.2e-10,6,2,11.3882281,1.553035999,958.9444683,1.807978969660899e-08,3.177120597998537e-11,3988188.903663748,7008.354260290891,0.05513798669571438,0.9963176808926968
51,ACUBAB_clean,6.85e-08,1.26e-08,6,2,3.547601797,0.118777203,2309.76371,1.2473274429878556e-08,2.3045170937435063e-10,2751457.594826152,50834.93589140088,0.1266559349314123,0.9780674020996345
52,ACUFEK_clean,9.15e-08,1.73e-08,6,2,7.407723996,1.282797079,559.4252702,8.426271595992958e-09,8.276655649194855e-10,1858736.3814690348,182573.28637929828,0.3694278832189355,0.9349786369289345
53,ACUJOZ_manual,1.17e-07,1.53e-08,6,2,10.4612225,0.651955564,694.2844869,1.8883967688974013e-08,4.61695486918007e-10,4165581.1078619147,101844.59270250154,0.05115639629522175,0.9484205230140876
54,ACUTOI_clean,1.66e-08,7.2e-09,6,2,3.450440418,0.045728283,1719.930296,2.1891773857123182e-09,3.7751740471565646e-11,482906.7762600702,8327.589809904186,0.6894537932521168,0.9929306208106238
55,ADABUE_clean,4.11e-09,6.09e-10,6,2,1.8715388,0.08517413,1466.304131,2.506410500706995e-10,5.070581854137239e-12,55288.466927360176,1118.5107031185087,0.7441054030923581,0.992729293188138
56,ADARAA_clean,7.97e-08,6.6e-09,6,2,7.047127976,1.503188942,881.9265145,1.1007542363217708e-08,5.833089610713212e-10,2428134.344827436,128671.09435396791,0.18752993314683072,0.9497231358474525
57,ADASEF_clean,1.6e-07,1.68e-08,6,2,5.447313803,2.023566198,435.6029957,8.43685763948359e-09,9.872480775875867e-10,1861071.5381213801,217775.3112325559,0.37173430397774937,0.924247423388496
58,ADASIJ_clean,9.61e-08,5.93e-09,6,2,10.89436062,1.860890444,629.2477411,1.4639771089422458e-08,4.629199581564631e-10,3229361.2697255425,102114.69665216097,0.07404134058464223,0.9537761134062156
59,ADASOP_clean,9.02e-08,4.73e-09,6,2,11.20550872,1.913549831,631.679137,1.4188031205026238e-08,3.8115901084551227e-10,3129712.7658146117,84079.193568863,0.08187666814895438,0.9621464356132878
60,ADASUV_clean,9.32e-08,3.34e-09,6,2,11.38467289,2.238205827,625.690608,1.4753110366800675e-08,3.118278252120494e-10,3254362.5809119134,68785.54967912854,0.07444057313884549,0.9681695285684778
61,ADATAC_clean,1.82e-07,1.71e-08,6,2,5.819748684,2.150581244,337.282717,7.938842622404409e-09,8.269034290203386e-10,1751215.2843539137,182405.16816625115,0.4069191143045273,0.9350172460330988
62,ADATEG_manual,2.81e-07,4.8e-08,6,2,4.106542247,1.084359561,238.7733928,6.122884000510132e-09,8.285318764642836e-10,1350636.1765831173,182764.38451418022,0.5338644927796473,0.9314518017870212
63,ADATIK_clean,2.25e-07,1.78e-08,6,2,4.42427605,1.879657392,377.5735272,8.352447567524917e-09,8.421878607576586e-10,1842451.669306967,185776.73399066,0.3754460363258382,0.9339997604200302
64,ADAXEK_clean,1.42e-08,5.3e-09,6,2,7.568233896,0.574233804,1263.420338,3.0172982422811717e-09,2.563428622483827e-10,665580.4946208467,56546.21961361384,0.666718945919521,0.964721153551046
65,ADAXIO_clean,1.37e-08,3e-09,6,2,6.230641076,0.195160598,1280.607286,2.4291635491057286e-09,4.99848167477834e-11,535844.9005380283,11026.062517893397,0.6816610955264114,0.9914347737543581
66,ADIQEL_clean,2.55e-08,5.03e-09,6,2,5.72971239,0.457378446,1237.619928,4.018350200157755e-09,1.8981901449457187e-10,886400.7794465636,41871.84143262615,0.6234159729308127,0.9782228462288511
67,ADOBIF_clean,7.07e-09,1.13e-09,6,2,9.20176947,1.144552505,1588.726486,2.29682223925867e-09,1.3698469290810645e-10,506651.96454235364,30217.211670905832,0.6887845189152504,0.9760357209574894
68,ADOCEC_clean,1.6e-08,1.32e-09,6,2,8.598083642,0.590351718,1535.426787,4.69394771228207e-09,7.976688205804296e-11,1035429.6424151625,17595.635748097713,0.5878707363885083,0.9914793741404452
