Unnamed: 0,Adsorbent,D_H2(m^2/s),D_N2(m^2/s),P_H2(bar),P_N2(bar),q_H2(mol/kg),q_N2(mol/kg),Density(kg ads/m^3),a_H2(mol/(mm^2 bar s)),a_N2(mol/(mm^2 bar s)),P_H2(Barrer),P_N2(Barrer),Pu_ret_0.7,Pu_perm_0.7,Ff_opt,Pf_opt,L_opt,D_opt,LCOH_opt
115,ALOLES_ion_b,1.08E-08,1.67E-09,6,2,2.511194335,0.007160304,2208.182101,1.33E-09,1.76E-12,293568.0556,388.3058245,0.715167019,0.999484681,0.055542659,10.00667789,598.0085257,397.3547885,1.592109205
219,ATIBOU_clean,9.75E-09,1.74E-09,6,2,4.63355447,0.020490725,1662.690144,1.67E-09,3.95E-12,368213.7851,871.7841781,0.705114569,0.999056056,0.644260617,29.90905998,599.3215221,566.3926325,3.548656963
220,ATIBOU01_clean,1.20E-08,1.70E-09,6,2,5.197484522,0.022403598,1592.724748,2.21E-09,4.04E-12,486950.7191,892.0691245,0.687842909,0.999240296,0.215954217,14.79390001,599.6120433,363.0119982,1.927032508
221,ATIBOU02_clean,1.09E-08,1.78E-09,6,2,5.25027213,0.022384437,1589.304074,2.02E-09,4.22E-12,445846.2738,931.2456605,0.69399991,0.999145745,0.288536953,15.5868451,598.8843226,393.4557341,2.459541084
222,ATIBUA_clean,7.55E-09,1.45E-09,6,2,4.318703371,0.014895814,1675.809756,1.21E-09,2.41E-12,267851.9881,532.2896782,0.718543701,0.999232261,0.149054131,15.50695854,599.3539966,570.3464733,2.436540001
223,ATICAH_clean,1.35E-08,1.93E-09,6,2,5.122029857,0.020158607,1595.15901,2.45E-09,4.14E-12,540691.6815,912.6681518,0.679515895,0.999287061,0.152207694,10.59239389,596.051529,425.7014139,1.71053662
224,ATICEL_clean,1.05E-08,1.75E-09,6,2,5.076215131,0.017436197,1609.945308,1.91E-09,3.27E-12,420639.7142,722.4237678,0.697653706,0.999303232,0.132322213,11.54694749,598.6061746,442.8531569,1.827903135
353,BEPWEA_clean,2.97E-08,7.80E-09,6,2,8.874531633,0.009611903,1377.489813,8.07E-09,6.88E-12,1779754.581,1518.740118,0.379008053,0.999384233,0.232080786,10.07319869,598.2956582,359.945083,1.022529204
1044,EDAFUM_clean,6.35E-09,1.33E-09,6,2,4.41137682,0.017318206,1773.032311,1.10E-09,2.72E-12,243463.7824,600.5681267,0.721679727,0.999054421,0.529100244,29.95930728,598.3273556,439.9488268,4.515501358
1045,EDAGAT_clean,4.77E-09,9.83E-10,6,2,4.135320414,0.016951486,1845.643519,8.09E-10,2.05E-12,178461.7712,452.2725216,0.729732593,0.999047599,0.463228073,29.96943905,596.1140675,335.0748721,5.501693935
